id,ind_text,tgt_text
indolem-train-1238,"Waktu itu saya ada acara di hotel dekat bandara jadi saya memilih airy kubu anyar untuk tempat stay semalam karna strategis tempatnya. Waktu itu saya tidak mendapat kamar deluxe karna full. Jadi saya dapetnya yang standard room dilantai 2 . Untuk deluxe room ada dilantai 1.  sarung bantalnya mungkin harus di beli lagi yang baru karena sepertinya sudah lama sekali ini terlihat adanya bintik2 hitam kecil yang walaupun sudah dicuci masih membekas, dan sikat gigi yang disediakan walaupun masih terbungkus plastik ternyata sikatnya sudah seperti sikat bekas pakai terlihat adanya rambut kecil menempel disikat dan sikatnya bruntusan. Jadi saya merasa tidak nyaman dengan semua itu. Staf receptionisnya ramah dan sigap membantu.","Pas itu beta ada acara di hotel deka bandara la beta pili airy kubu anyar par tampa tinggal samalam barang akang lokasi par. Pas itu beta seng dapa kamar deluxe barang pono. Jadi beta dapa yang standar di lante 2 . Kalo kamar deluxe ada di lante 1 .  akang sarong bantal mangkali musti bali ulang yang baru barang akang kaya su lama skali sampe ada bintik2 itam kacil yang biar su cuci lai seng ilang, deng sikat gigi yang dong kasi masi tabungkus plastik mar akang sikat tu kaya su abis orang pake barang kaya rambu kacil tatepel di akang sikat tu. Jadi bet seng nyaman deng samua tu. Staf resepsionis rama deng siap par bantu. "
indolem-test-653,Terwacana 2015: hidup anti junkfood & anti makan malam lebih dari jam 7 pm. (at @mcd14045) ? https://path.com/p/3joWP9,Terwacana 2015: hidop seng makang makanang seng sehat & seng makan lewat dar jam 7 malang. (di @mcd14045) ? https://path.com/p/3joWP9
indolem-train-1232,saat mandi tidak ada air panasnya.,Pas mandi seng ada aer panas. 
emot-train-2028,[USERNAME] Sukses Tim Ombudsman RI dalam segala hal dan mohon kebenaran fakta ditindak lanjuti dengan serius dalam Tempo sesingkat2nya serta tidak menjadikan banyaknya permasalahan membuat menunggu lama sehingga seolah2 mirip dengan penundaan berlaru,[USERNAME] Sukses Tim Ombudsman RI dalam smua hal deng tolong fakta batul dapa tindak lanjut deng batul dalam tempo yang singkat skali deng seng kasjadi banya maslaa biking batunggu lama sampe kaya dapa tunda tarus tarus
emot-validation-272,bangun tidur langsung disuruh pergi tapi disuruh mandi dulu dan harus nyampe sebelum ashar ya bayangin aja bangun aja jam 3 -_- [URL],bangong bangong langsung dapa suru pi tapi dapa suru mandi dolo deng musti sampe sbelum ashar ya pikir jua bangong sa su jam 3 -_- [URL]
emot-test-317,"Baca buku ini diawal senyum, ditengah-tengah senyum miris, diakhir senyum pasrah. Nuhun bung [USERNAME]#bukugariswaktu #fiersabesari","Baca buku ni akang kamuka ada senyum, pas su di tenga kaya senyum kasiang, la akang akir pasrah sa senyum tu. Dangke kaka [USERNAME] #bukugariswaktu #fiersabesari"
emot-train-1087,Apa sih maunya BRI ini? Dari tadi mau transfer ke Bank lain via BRI Mobile begini terus. Serius gak sih melayani konsumen? [USERNAME],BRI ni mau apa la ni? Dar tadi mo transfer par Bank laeng lewat BRI Mobile bagini tarus. Btulan seng la layani konsumen? [USERNAME]
emot-validation-308,"Yg pernah atau sedang ngejalanin usaha pasti tau lika liku keunikan konsumen. Prinsip gue, selama bisa gue penuhin permintaannya, I will do it. Walaupun bagi gua aneh.","Yang su perna ka ada jalani usaha pasti tau lika liku konsumen ni pung unik. Beta prinsip, slama beta bisa kaspono akang permintaan tu, beta pasti biking akang. Biar akang par beta lia ane. "
indolem-test-981,Padahal saya sudah pakai baju lengan panjang dan celana panjang. Pakai jaket juga. It makes my hatred for cold is grow biggar and biggar,Padahal beta su pake baju tangan panjang deng clana panjang. Pake jaket lai. Akang biking beta pung rasa binci par dingin making basar sa
indolem-train-3300,pelayanan kurang ramah utk saya apa mngkin krn prohram airy,pelayanan seng tlalu rama par beta ka mangkali tagal airy program
emot-train-503,"Karena makan bersama sambil berbincang dengan orang"" tersayang itu terasa nikmat By me taichangoreng","Barang kalo makang ramerame la bacarita deng orang"" yang katong sayang akang rasa paleng sdap Dar Beta taichangoreng"
emot-train-3281,Sekarang saya tidak bisa lagi menggantungkan sesuatu ke orang lain. saya berusaha mengenal dan mencukupi apa yang saya butuhkan sendiri. sandaran saya hanya Allah dan orang tua. tapi saya selalu yakin kelak akan ada orang yang mampu mengisi zona yang lebih baru.,"Skarang beta su seng bisa lai kasgantong sesuatu ka orang laeng. beta berusaha kanal deng kascukup apa yang beta butu sandiri. beta pung sandaran cuma Allah deng orang tatua, mar beta slalu yakin nanti ada orang yang bisa isi zona yang labe baru. "
emot-train-2122,Kalaupun fansite ngejual hasil jepretan mereka toh uang nya lari ke idol juga. Beliin mereka hadiah dsb kan. Kpopers baru ya? Fansite udh ada dr jaman kamera belom sebening skrg!,Biar situs fens bagitu jual dong hasil foto nanti akang uang jua ka idol lai. Bali dong hadia dsb to. Kpopers baru ka> situs fens tu su ada dar jamang kamera blom bagus kaya skarang!
indolem-validation-211,Sayang Wifi Gak Bagus Mesti Keluar Kamar,sayang wifi seng bagus musti kaluar kamar
indolem-train-3525,VIDEO: Legislator PDIP DPR RI Tegur Pemprov Sulsel: Inilah kritikan Legislator PDIP DPR RI? http://goo.gl/fb/hAI5hR,VIDEO: Legislator PDIP DPR RI Tagor Pemprov Sulsel: Ini Legislator PDIP DPR RI pung kritikan? http://goo.gl/fb/hAI5hR
emot-train-1486,Thread ini dipersembahkan oleh wanita yg permisif terhadap pelecehan yg dialami wanita lainnya dengan alasan kejadian seperti itu banyak terjadi dan ga ada yg mengadukan. KHANMAEN.. [URL],Tred ni dapa kasi dari parampuang yang pesimis par pelecehan yang parampuang laeng alami deng alasan kajadiang kaya bagitu banya deng seng ada yang mangako. BUKANG MENG.. [URL]
indolem-test-133,"@JANJISUCI_TTV Gue bakalan sll menanti balutan kisah @RaffiAhmadLagi  n @Lady6igi  sampe ke london n umrah kemekkahnye, bikini yg seru ya","@JANJISUCI_TTV Beta mo slalu tunggu dong kisa @RaffiAhmadLagi  deng @Lady6igi  sampe ka london deng umrah ka mekkah, biking yang asik e"
emot-train-2770,"usaha yg baik tidak akan mengkhianati hasil. kalau udah berusaha yg terbaik, tapi hasilnya sedikit mengecewakan.. rasanya itu, hati lebih lega dan lebih mudah buat ikhlas. ya paling tidak, sudah berusaha jadi yg terbaik.","usaha yang bae seng akan hianati hasil. La kalo su coba yang paleng bae, tapi akang hasil sadiki biking kecewa.. akang rasa tu, hati labe lega deng labe gampang par iklas. la kalo seng, su coba yang terbaik lah."
emot-train-1112,"1. Orang-orang yg ditempatkan di Pulau Cendrawasih itu sumbu pendek Salah. Salah banget. Sejauh saya PKL dan OJT serta ST beberapa kali, (di instansi saya sih yg paling jelas) orangnya asik-asik. Suabar ngadepin berbagai macam tipe orang dan mereka ahli di bidangnya masing2","1. Orang-orang yang dapa taro di Pulau Cendrawasi tu sumbu pende sala. Sala paskali. Beta ni PKL deng OJK deng ST brapa kali, (di beta tampa ni yang su jelas) akang pung orang bae-bae. Sabar par bakubawa deng orang yang jago di dong pung bidang sandiri-sandiri"
indolem-train-597,"RT @VIVA_log: Diusir dari Sekolah, Pria Ini Kini Miliki Rp220 Trilliun http://dlvr.it/8kmNtq","RT @VIVA_log: Dapa User dar Skolah, Laki-laki Ini Ni Skarang Su Pung Rp220 Trilliun http://dlvr.it/8kmNtq"
indolem-train-1811,"@kompascom: Demokrat Protes Pimpinan KPK Usulan SBY Tak Dipilih Jokowi http://kom.ps/AFploc """" salah usul, harusnya yg diusulkan bu ani ??","@kompascom: Demokrat Protes Pimpinan KPK Barang SBY Pung Usulan Seng Dapa Pili Jokowi http://kom.ps/AFploc """" usul sala, kan yang dapa usul bu ani ??"
indolem-train-2411,Bukan sabar lagi tapi sabar bgt!  Kayak tai taian????? ???????? ? Sabar by Afgan (with ambar) ? https://path.com/p/2O2bg8,Bukang sabar lai mar paleng sabar! Kaya tai tai????? ???????? ? Sabar by Afgan (with ambar) ? https://path.com/p/2O2bg8
emot-train-1790,"Coba cari terus siapa tahu ada yang kecebur jatuh , atau terperangkap didalam gua , karena guanya gelap & banjir jd licin bs ajach kepleset","Coba cari la sapa tau ada yang tacolo jato , ato tajebak di goa , barang goa tu akang glap & balandong jadi licing bisa sa talucu"
indolem-train-1318,banyak nyamuk dan kecoa.... lantainya juga kotor banget!!! and too much noisy heeeee not that good hmmmm.,nyamu deng kakarlak banya.... akang lante jua badaki skali!!! deng talalu baribot heeee seng bagus skali jua hmmmm.
indolem-train-1900,"kebersihannya perlu ditingkatkan, terutama di peralatan kamar mandi","akang pung barsi musti kastingka lai, apalai di peralatan kamar mandi"
emot-train-125,Love this pic terima kasih atas waktu yang sangat indah Note:abaikan muka gw yang kaya babu @ Pantai Legon Prima Anyer,Suka foto ini dangke par waktu yang paleng inda Not: seng usa beta lia beta muka yang kaya jongos @ Pantai Legon Prima Anyer
indolem-test-411,"cukup murah dan strategis, sayangnya ruang terasa panas karena acnya bocor keluar pintunya tidak tertutup dengan baik","mura deng lokasi pas jua, mar akang ruangan kaya panas barang ac bocor kaluar pintu lai seng bisa tutu baebae"
indolem-train-1082,"selimut nya tipis, sprei dan kain2 nya terlihat buluk, air panas nya tak berfungsi :(","slimut tipis, sprei deng kaeng2 lia busu, aer panas seng jadi :("
indolem-train-144,"pelayanan memuaskan, makanan enak, cuma kamar mandi agak bau. over all ok","pelayanan memuaskan, makanang enak, mar kamar mandi sadiki boboi. ok la akang"
indolem-train-1865,"HANCURNYA PARTAI DEMOKRAT TANPA @SBYudhoyono"""" has been chirpified by @TM2000back http://bit.ly/1eFNWhF","PARTAI DEMOKRAT ANCOR SENG ADA @SBYudhoyono"""" dapa twiit dar @TM2000back http://bit.ly/1eFNWhF"
emot-train-3126,"Mandiri secara finansial adalah langkah pertama menuju kedewasaan. Tidak mungkin Anda bisa dianggap dewasa oleh siapapun, bila makan dan beli pulsa handphone saja masih minta pada orang tua. Miliki pekerjaan yang layak dan hidupi diri Anda sendiri.","Finansial mandiri tuu langka pertama par dewasa. Seng mungkin ale bisa dapa anggap dewasa dar sapa lae, kalo makang deng bali pulsa hape sa minta orang tatua. Coba pung karja yang bbisa kashidop ale pung diri sandiri. "
emot-train-3195,"Ya, benar. Sebagai manusia, kita hendaknya saling mengingatkan pada kebaikan. Karena pantai, gunung, dan lautan hanya mengingatkan kita kepada mantan. [URL]","Yo, batul. Jadi manusia, katorang musti saling kasinga bae-bae. Barang pante, gunung, deng lautan cuma kasinga katorang par mantan [URL]"
indolem-train-2385,"Kamar mandinya kurang bersih, dan kurang lengkap faslitasnya untuk dikamar mandi, untuk yang lain lumayan","Kamar mandi seng talalu barsi, deng akang fasilitas di kamar mandi seng talalu lengkap, par yang aleng lumayan jua"
indolem-train-1503,"#WartaBerita Kalau PDIP adem ayem saja, menjelaskan bahwa deal-deal itu benar adanya. http://bit.ly/1vR9b3m","#WartaBerita Kalo PDIP diam diam sa, bulang kata akang kesepakatan tu batul ada. http://bit.ly/1vR9b3m"
emot-train-2113,"Tadi aku happy sekali ke one fifteenth cofee, inet cepat, ada colokan, ngerjain inter dengan damai. Pantes pada betah di coffee shop lama lama.","Tadi beta sanang skali ka one fifteenth kafe, akang internet kancang, ada cokcok, kerja magang deng aman. Ada pantas beta di kafe bagitu lamalama. "
indolem-train-3182,"Lokasi hotelnya strategis banget. Dekat kemana2. Apalagi dekat dengan mall Istana plaza. Dekat pula dengan beragam tempat wisata di pusat kota. Kamarnya meski kecil tapi cukup nyaman.  Cuma saran saya, untuk di kamar mandi tolong ditambahi dengan tempat sampah. Dan memang nggak dikasih sikat sama odol ya?Trus untuk sprei dan sarung bantal guling supaya lebih bersih lagi karena masih ada bekas bercak2. Setidaknya dibersihkan dnegan pemutih pasti hilang deh. Kan spreinya warna putih.Tapi sejauh ini nyaman2 saja.","Akang lokasi hotel pas skali. Deka kalo mo pi mana2. Apalai deka degn mall Istana plaza. Deka lai deng tampa wisata yang ada di renga kota. Akang kamar kacil mar nyaman. Beta saran cuma mangkali, par di kamar mandi tolong tamba tampa sampa. Deng memang dapa kasi sikasika deng odol ka? La par sprei deng sarong bantal polo supaya labe barsi lai barang kaya masi ada bakas bercak. Kalo seng kasbarsi deng pemuti akang pasti ilang. Kan akang sprei warna puti. Mar sampe sini masi aman2 sa. "
indolem-train-1934,"Jam segini masih ngecek HP, tapi gak ada BBM masuk dari lu tuh :(","Jam bagini masi cekcek H, mar seng ada BBM maso dar se tu :("
emot-train-2377,"Setiap kesempatan yg pernah hadir tuk dapat membuatmu selalu merasa aman dan nyaman, kini jadi suatu kehormatan yg pernah didapat","Tiap kesempatan yang perna ada tu akang par biking rasa aman deng nyaman, skarang su jadi kehormatan yang pernah dapa akang"
indolem-train-3620,"harga bersahabat. cuma seperti biasanya, kamar Airy itu pasti diberi room yg kurang strategis. kami diberi room basement. kebetulan wifi hotel error. karena room dibasement, Hp cuma nangkap signal 3G. lelet lah ceritanya. intinya kamar Airy selalu ditiriin.","harga jadi jua. mar kaya biasa, Airy pung kamar tu pasti dapa kasi kamar yang seng talalu pas. katong dapa kasi yang di lante bawa. pas hotel pung wifi seng jadi. barang kamar di bawa, Hp cuma dapa sinyal 3G, lola skali la. Intinya Airy pung kamar dapa bagini suda."
indolem-train-2451,"sya nginap brsama suami 2mlm,  tpi dikasih twin bed. minta ganti gakbisa ktnya tggu bsk,  keesekokan harinya msh jg gakbisa.  shower airpanas tdk panas sama sekali. breakfast lumayanlah.  pelayanan kurang baik,  saat mau keluar siang mnt dibereskan room nya tpi stlh kembali lgi (stlh 2jam an diluar)  room msh juga blum dirapihkan.","Beta nginap deng paitua 2 malang, mar dapa kasi twin bed. minta ganti seng bisa bilang kata tunggu eso, beso jua masi tar bisa. aer panas seng ada akang pung panas sama skali. makang pagi lumayan. pelayanan seng tlalu bagus, pas mo kaluar siang ada minta kasbarsi kamar mar pas bale (abis 2 jam di luar) kamar jua blom dapa kasbarsi"
indolem-train-181,Partai Demokrat: Keputusan Jokowi Soal Kisruh KPK dan Polri Beri Kepastian http://bit.ly/1vKaocZ  #politik,Partai Demokrat: Keputusan Jokowi Tagal  KPK deng Polri Kasi Kepastian http://bit.ly/1vKaocZ  #politik
emot-train-2320,"[USERNAME] [USERNAME] gaada yang mau gue ungkapin . Dia bisa bikin nyaman . Gue ngapain aja dia juga iyaiya aja , baiknya keterlaluan , manisnya keterlaluan , gemesinnya keterlaluan , marahnya juga ketealuan wmwkwkwk. Sangat sayang dika","[USERNAME] [USERNAME] seng ada yang mo beta bilang . Dia bisa biking nyaman . Beta biking apa jua dia ia sa , talalu amat bae , manis lai talalu , gemas talalu , mar mara lai talallu wmwkwkwk. Sayang skali dika"
indolem-train-21,RT @DeyanaIdhamR: Belajar di alam itu bisa memperkaya pengetahuan yang tidak kita dapat dari bangku sekolah..,RT @DeyanaIdhamR: Blajar di alam tu bisa kaskaya pengetahuan yang katong seng dapa dar skola..
indolem-train-1117,kenapa baru nak hargai bila orang tu dah pergi,kanapa baru mau pas orang tu su pi
emot-train-3142,"Bung [USERNAME] ini saya aku I jago sebagai komentator dan analis bal-balan, salah satu yang terbaik di sini. Tapi nalar dan logikanya soal harrasment ke Via Vallen dangkal, picik, dan memalukan betul.","Bung [USERNAME] Ini beta jago jadi tukang kumen deng analis ecece, yang paleng bae di sini sala satu. Mar nalar deng logika pelecehan ni par Via Vallen akang dangkal, picik, deng biking malumalu batul. "
indolem-train-3046,Pelayanan kurang baik... Pegawai kurang ramah sama tamu.,Pelayanan seng talalu bae... Pegawai seng talalu rama par tamu.
emot-train-3022,"aku gak akan ninggalin kamu - aku gak mau nyakitin kamu - aku sayang kamu - aku bakal selalu ada buat kamu - kita sama"" terus ya - hei icintayou - aku cuma sayang kamu - aku gak mau kamu jauh dari aku","beta seng akan kastinggal se - beta seng mau biking se saki - beta sayang se - beta slalu ada par se - katong sama"" tarus e - hei beta cinta se - beta cuma sayang se - beta seng mau se jaujau dar beta"
indolem-test-431,kotor,badaki
indolem-test-514,Kamar bagus nyaman hanya pelayanan yang sedikit kurang memuaskan,kamar bagus nyaman mar akang pelayanan sadiki kurang biking sanang
