id,ind_text,tgt_text
emot-train-838,"Dari mulai disuruh2, dibentak, dimarah-marah. Untungnya sih ga ada kekerasan fisik ya, tapi dari segi mental itu yang jadi kita takut/ga nyaman buat pergi ke sekolah kita sendiri. Walaupun katanya cuma akting, tapi tetep ajalah ngebekas.","Muloi kuni snayo2,sên gok,nêngiak.mujuanê coa main tangên gi,tapi kuni sgai mental jijai do o dê mênêa itê sabên/coa nyaman lok moi umêak skulah tê dewek,walau padêaknê Cuma ekting,tapi têp bae ngêding."
emot-train-2413,"Harus cepat2 capcus nicch [URL] Warga Jakarta diperkirakan mulai mudik ke arah Jawa dan Sumatera mulai Jumat, 8 Juni 2018.","Harus gêgulut agok kricass die [URL] Warga Jakarta kêkiro muloi belek msadêi moi arah jawai ngen sumatera muloi Jum’at, 8 Juni 2018"
indolem-train-1036,"Terima kasih banyak atas donasi dr @DDsulsel brupa seragam olahraga,seragam sekolah,tas dan sepatu","Mpkasiak nyên ngen donasi dr  @Ddsulsel bêrupo sragam olahraga,sragam skulah,tas ngen sepatu"
indolem-train-130,"Semenjak hamil, @Lady6igi makin terpancar AURA KECANTIKANNYA! ? *alami tanpa pemanis buatan.. ;) @RaffiAhmadLagi","Jak tnéi lai, @Lady6igi taméak kten aura calakné! ? * alami coa pakéi pemanis palsu..;) @RaffiAhmadigai"
indolem-test-668,Hal yang paling menyedihkan adalah ketika mengingat kamu lebih memilih pergi dari hidup aku daripada bertahan disamping aku #jujur,Masalah dê paling mênêa pilu adeba mingêt waktau ko lêbiak miliak lalau lêm idupku kuni bêtaên nak dêpêak ku#jujur 
emot-train-1106,"Dari dulu hingga sekarang, sebagaimana biasanya, setiap kali memasuki bulan Ramadan, kegiatan pariwisata di Indonesia terasa agak lesu. Apakah Anda meraskan hal ini? Jumlah perjalanan wisatawan nusantara di tanah air, cenderung mengalami penurunan. #VIWIHotDealsForMiddleEast `","Kuni bêl o sapêi uyo,awêi ipê biasonê,tip masuk bulên puaso,kegiatan pariwisata nak Indonesia ngêding agok sunyêi.janokah ko mêding i o? Jumlah perjalanan wisata Nusantaro nak nêgrai tê,agok ngêding tu un."
indolem-test-403,Tak Semua Kader PDIP Dukung BG Jadi Kapolri http://republika.co.id/r/nk66vi,Coa kuté Kader PDIP dukung BG ijai Kapolri http://republika.co.id/r/nk66vi
indolem-train-743,Pgn punya HP baru di 2015? Pas! #Kapanlagi & Lumia bakal kasih kamu 3 HP baru. Caranya >> http://kplg.co/C5fA  Yuk #MakeItHappen mimpimu!,Lok temuan Hp bêlau nak 2015? Pas! #Kapanlagi & Lumia bakêa magiak ko 3 Hp bêlau. Ca o nê >> http://kplg.co/C5fA Yuk #MakeItHappen mimpimu!
indolem-train-2361,Nyaman & lumayan bersih. Menurut saya menu sarapan kurang bervariasi dan hot spot wifi perlu ditambah.,Nyaman ngen bersih ba.mnurutku menu mukmêi pueng ku ang variasi ngen hot spot wifi tênamêak.
indolem-train-3571,"Biasa aja. Remote ac ga berfungsi. Baru kali ini saya kecewa dgn airy. Biasanya dapet souvenir dari airy, yg ini boro boro, welcome snack aja ga ada","Biasonê. Remot ac coa fungsi.Pêi dêbat yo uku kêciwo ngen Airy,Biasonê dapêt tanomatai kuni Airy,dêbat yo coa mukkelet,welcome snack bae coa si"
indolem-test-663,"Cukup nyaman, nmun perlu ditingkatkan lg kebersihan kmr mndi, minimal tdk bau","Cukup nyaman, tapi perlu tênikêt igai kebersihan kamar mêndai, cê coanê coa kêmon"
indolem-test-224,Anies Baswedan: Sekolah Harus Punya Tempat di Hati Anak-anak http://republika.co.id/r/nkd7cn,Anies Baswedan: Skulah Harus Ade Pnan nak Atêi tê titik http://republika.co.id/r/nkd7cn
indolem-test-320,air panas kurang berfungsi & handuk lembab.,Biyoa panês ku ang pungsi ngen anduk lêmbêb
indolem-train-1077,"check in yang lama, ruangan kamar kurang bersih, da toilet tidak terwat, shower tidak bisa digunakan","Check in né an, ruangan bilik ku ang bersih,ngen toilet coa terawat,shower coa nam makéi"
emot-train-910,[USERNAME] sender gabisa bantu dia lapor ke komisi perlindungan anak atau polisi gitu ? sumpah menurut w udah diluar batas dan w khawatir banget sama temenmu. udah dibawa ke rumah sakit ?,[USERNAME] sender coa nam têmulung si lapor moi komisi perlindungan anok jano plisi i o? Supêak mnurutku bi nak luwêa batas uku khawatir nyên ngen kuwat nu. Bi nêmbin moi umêak sakit ?
indolem-validation-357,"#viva Tas Hermes Rp1,5 Miliar Dipakai Belanja Sayur oleh Syahrini: Kemunculannya menghebohkan orang-orang yang... http://bit.ly/1Lopq11","#viva Tas Hermes Rp1,5 Miliar Nakêi Syahrini blanjo sayur: si têko mênêa gu ok tun2 dê... http://bit.ly/1Lopq11"
indolem-train-727,[Nasional] Diskon - Rambut Hitam Alami Dengan BSY NONI Black Hair Magic Hanya Rp... http://gpon.co/7j8g5,[Nasional] Diskon – Buk Mêlêu Alami Ngen BSY NONI Black Hair Magic Cuma Rp... http://gpon.co/7j8g5
indolem-train-365,Semoga tuhan membalas semua yang terjadiiiiii ? Sadis by Afgan ? https://path.com/p/2blqdi,Smugo Tuhan malês kutê dê têjijai ? Sadis kuni Afgan ? https://path.com/p/2blqdi 
emot-train-2645,"I FEEL YOU [USERNAME]. Seringnya si bukan krn ga kepake, tapi lebih krn ga 'sesuai' gitu. Bisa mencak2 seharian aku dan mulai menyingkirkannya.......soalnya kalo masih keliatan, ky yg pgn marah sendiri. Sakit","Asaiku ko [USERNAME]. Biasoné coa si kerno coa tépakéi,tapi leébiak moi kerno coa ‘sesuoi’ i o.nam ngamuk débilai uku ngen muloi smekerné.......masalahné amén gi kten,awéi lok méngiak su ang.Gis"
indolem-train-3134,"#Full Bila Hatta Memimpin, PAN Selalu di Bawah Bayang2 Partai Demokrat [?] By @SangPemburu99 http://dlvr.it/8dYF1w","#Full Amên Hatta Memimpin, PAN Selalu nak bêak Bayang2 Partai Demokrat [?] By @SangPemburu99 http://dlvr.it/8dYF1w "
indolem-train-1515,Ac panas dan air panas hanya sebentar saja.,AC panês ngen biyoa paês Cuma têgoa bae.
emot-validation-186,Rafinha yang pemain bola di endorse sama [USERNAME] pula saya udah mainin Gitar dari tangan kanan ke kiri kiri ke kanan dibeliin gitar baru juga enggak sama emak [URL],"Rafinha dé pemain bal dénukung ngen  [USERNAME] kulo uku bi main Gitar kuni tangén kanén moi kidéu, kidéu moi kanén ténukuak gitar blau coa ngen indok [URL]"
indolem-train-1130,"pelayanan kurang, kamar kotor, servis tidak memuaskan.","Pelayanan ku ang,bilik ngéi,servis coa ményatuk."
indolem-test-521,#JombloItuBahagia - jaringan hp-mu sering lemot gak ?,#Jomblo o Bahagia - jaringan hp-nu cet cenok coa ? 
indolem-train-1127,"Kamar bau rokok, kasur sempit sekali ukuran 1/2 meter. Pelayan penerima tamu galak.","Bilik mon rokok,kasua spit ukuran téngéak meter.playan tmimo tamo garang."
emot-train-1988,(2) awalnya kaget karena gak pny basic broadcast tp krn rasa ingin tau yg tinggi jadi deal nih apalagi salarynya Alhamdulillah utk sekelas penyiar. Hari kedua di studio sdh memasuki bulan #Ramadan dan totally lingkungannya syariah dan muslim banget. Awalnya maksain diri utk,(2) pertamonê têkanjêt kerno coa ade dasar penyiar tapi kerno asai lok namên nyên jijai jnijai ba ipê igai gajainê Alhamdulillah utuk sekelas penyiar. Bilai ke duai nak studio masuk bulên  #Ramadan ngen totally lingkungannê syariah ngen muslim nyên . Mulonê agok makso awok utk 
emot-train-995,"Nah. Nyetatus lah aku di wa ""broken heart is real with thousand of heart broken emojis haha ada pesan terselubung emang. Karna masnya juga ngga ada kabar sejak hari ulanh tahunnya jumat kemaren.",Nah.nyetatus ba uku nak wa “patiak atêi adeba sribau patiak atêi dê nyato emojis haha ade pêsên coa kten memang.kerno abangnê kulo coa ade kabar kuni bilai ulang taunnê jum’at lêbêak.
emot-test-232,[USERNAME] [USERNAME] Iya mereka harus saling menguatkan sih. Yang penting Mino harus cerita aja ke member yang lain biar ngga beban sendiri :'''''''''),. [USERNAME] [USERNAME] au tê bo o harus saling kêmwêt.dê penting Mino harus cêrito bae moi member dê luyên supayo coa beban su ang :’’’’’’’’’)
emot-test-432,lhahhh kok gtu? mau dpet duitnya tp ga ngerjain kerjanya org lama pc situ kah? ga enak ketua pc nya. mentang2 kamu baru digituin ya. sabar2 ra. senyumin aja,Laa gêntai i o ? lok dapêt cacinê tapi coa kêmrêjo kêrjonê tun an pc o gi? Coa padek ketuai pc nê.mêtang2 ko tun bêlau nêa i o.sabar2 au senyum bae
emot-validation-123,"[USERNAME] [USERNAME] Please jangan bawa nama anak muda bro, kalau masih debat dg pak [USERNAME] tak pakai data apalagi nyinyir. Serasa generasi milenial kurang literatur.","[USERNAME] [USERNAME] tulung jibêak mbin gen anok u ai kwat,amê gi masiak mnatang ngen pak [USERNAME] jibêak pakêi data ipê igai mgungut.asai generasi milenial ku ang literatur"
indolem-test-852,Sedih. Aja. Tiba. Tiba. ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/4iWi0G,"Renyeng.Bae.Têtibo, ? Untukmu Aku Bertahan kuni Afgan ? https://path.com/p/4iWi0G"
indolem-train-3343,Ac nya panas,Ac nê panês
emot-train-398,[USERNAME] Gak bakalan. Tetap aja presiden yg mengatur. Kalau emang dukungan pribadi. Jgn ngomong di media. Apalagi beredar video dia apresiasi islam nusantara.,[USERNAME] coa gi bakêa.Têp bae Presiden dê matur.amên memang dukungan pribadi.jibêak miling nak media.ipê igai bi tidêa video si apresiasi Islam Nusantara.
emot-train-3220,"Maka yang dilakukan papa adalah dudum diruang tamu, dan menunggumu pulang dengan hati yang sangat khawatir Dan setelah perasaab khawatir itu berlarut-larut. Ketika melihat putri kecilnya pulang larut malah hati papa akan mengeras dan papa memarahimu.","Mako dê kênrêjo bak adeba têmot nak ruang tamu, têmungau ko belek ngen atêi asai khawatir nyên asai khawatir o an ngut ko belek. Waktau kêmliak smulên titiknê belek bi uak malêm atêi bak tambêak ksal trs mêngiak ngen ko."
emot-train-2094,Klw blm knl hayu trus ngajakin tmuan giliran udah kenal puas ninggalin lagi aja Ntr klw lagi butuh nongol lagi hadeh loe kira gw boneka sesuka hati loe,Amên ati kenal maro trus majok têmau pas bi kênal gênyai têningêa igai be amên gidong perlu mnêko igai woi sakonu uku boneka kêkêlok atêinu
indolem-validation-309,"proses checkin lama, pdhal sdh jam15.30. dibanding airy lain yg pernah sy kunjungi, hanya disini yg tdk ada atribut Airy sperti bantal & toilet kit. Disini jg tdk disdiakan snack dlm box sperti kmar airy yg prnah sy psan sbelumnya.. layar tv tidak jernih..","Proses masuk an,padahal bi jam 15.30.nbanding Airy luyên dê pêrnêak uku magêa,uku nak pyo coa ade merek Airy awêi nak batêanê ngen perlengkapan wc.nak pyo kulo coa si sêmdio kêkucêp lem kutak awêi bilik Airy dê pêrnêak uku mêsên ayok yo..layar tv coa jniak.."
indolem-train-3627,"Cyclops :D """"@vikingcampaka: Sugan mah robocop :))) """"@YogaPHB: Syahrini mah aya aya wae...","Cyclops :D """"@vikingcampaka: Mungkin ba robocop :))) """"@YogaPHB: Syahrini o ade ade bae..."
emot-train-1436,"[Habis buka Facebook] [Thinking..] Sebanyak itu ya teman-teman yang saya kenal, mulai dari teman SD, sampe pas jaman kuliah, dengan segala kesibukan mereka sekarang. Seneng aja lihatnya, feeling very grateful have a live in this life. Alhamdulillah.","[sudo mukok Facebook][pekeran..] kêdau o gi kêkuwat dê uku kenal, muloi kuni kuwat SD, sapêi pas jaman kulaih, ngen kutê kesibukan têbo o uyo. Snang bae kêmliaknê, mêding bsyukur manêu idup yo.Alhamdullilah."
emot-validation-378,Ya kalau hanya cukup dengan minta maaf untuk apa ada polisi dan jaksa??? Dan kalau dibiarkan tidak akn ada efek jera dan pelajaran untuk lainnya,Amên Cuma cukup ngen minoi maaf utuk jano ade plisi ngen jaks???amên nunyau coa gi ade jê o ngen pembelajaran utuk dê luyênê
emot-train-2683,"mau nanya dong... mengingatkan seseorang yg punya hutang secara berulang ulang itu baik gak sih ?? terus setiap di tagih jawabanya gk ada terus, kira2 neraka no berapa yg pantas buat dia","Lok bêtanye e...mingêt ade tun dê temuan utang cet igê do o baik cao gi ?? trus tip tênagiak simêtnê coa si trus,kiro2 nerako nomor kêdau dê pas utuknê"
emot-test-62,"Jangan sengaja menghilang jika hanya sekedar ingin dicari,satu hal yang perlu kamu ketahui bahwa yang hilang tak selalu dicari tapi juga bisa diganti.","Jibêak sngajo nyêp Cuma skedar lok nêsoa,do hal dê perlu ko namên adeba dê nyêp coa perlu mêsoa tapi nam kulo gênitêi."
indolem-train-703,@ariefbakri: AYAH PULANG TANPA SEPATU FAVORITNYA. Malam itu kami makan malam mewah di rumah.,@ariefbakri: bapok belek coa makéi spatu favoritné.malé o keme mukméi mewah nak uméak
indolem-train-1738,Kalimat 'Sudah makan atau belum ? ' menempati urutan pertama sebagai pertanyaan paling basi saat PDKT.,Kalimat ‘Bi mukmêi ati?’ adeba urutan pertamo bêtanye têlat waktau PDKT.
indolem-train-2337,AC di kamar nomer 10 ngga dingin,AC nak bilik nomor dêpuluak (10) coa sêngok
emot-train-1698,"Selain pocong, aku seram juga dgn hantu merangkak/mengesot ni. Selalu bayang tgh naik tangga tetiba natang ni kejar. Setan betul [URL]","Luyên kuni pocong,uku sabên kulo ngen atau makok/ngesot ba.cet tbayang gidong kênek nêa têtibo têko mjalang.smat nyên [URL] "
indolem-train-1195,Aku sabar je haih. Penat gua iron tudung pastu sesedap rasa engko je letak baju kau atas tudung aku ? sabar Aida sabar,Uku coa sabar.payêak dmubi hijab sêbaês yo nêpek bae bajaunu nak hijabku ? sabai Aida sabar
indolem-train-186,Daripada harus ngeliat pemandangan Afgan BCBan seperti biasanyaaa (*yg gw kira ritual itu udah lenyap? https://instagram.com/p/zqdRGlGj5N/,Kuni harus kêmliak pemandaangan Afgan BCBan awêi biasonê (*dê sakoku ritual o bi nyêp? https://instagram.com/p/zqdRGlGj5N/ 
emot-train-1141,"Di SD-SMP gue dulu kalau ada yg ketahuan bawa artikel terkait Pornografi, dijejerin depan kelas. Ditendangin tulang keringnya satu satu oleh wali kelas. Gue ngga pernah (ketahuan). . .  [URL]","Nak SD-SMP uku bêl o amên ade dê cekea min artikel masalah Pornografi,nêlê êt nak muko klas. Tendang tlan kê ingnê dê do ngen wali klas. uku coa pêrnêak (cekea)...[URL]"
indolem-test-26,Di Finlandia tidak ada sistem ranking di Sekolah. Mereka percaya bahwa semua murid itu seharusnya ranking 1.,Nak Finlandia coa ade sistim rengking nak skulah.Têbo o pecayo amên kutê murid o harusnê rengking 1.
indolem-test-956,Partai pimpinan Partai Golkar tengah mencari solusi atas konflik internal partai beringin. Simak #KompasPetang pkl 16.30 WIB,Partai pimpinan Partai Golkar gidong mêsoa solusi konflik internal partai beringin.Simok #KompasPetang pkl 16.30 WIB 
indolem-train-1307,AC nya rusak tidak berfungsi mohon di perbaiki (saya menginap di kamar K / L ).,Ac nê usak coa fungsi tulung nêa (uku têmalêm nak bilik K/L).
indolem-train-1800,Jangan pendam terlalu lama. Takut makan diri sahabat. Kadang mulut tak mampu bicara. Jadi biarkan airmata lakukan kerja dia ?,Mêak mêndêm an igê. Sabên muk awok kuwat. têtiko bibia coa nam miling. Jijai kunyai biyoa matai manêu kerjonê ?
emot-train-3062,"Ternyata banyak fans kpop dadakan ya, mending lisa gakusah kesini aja klo gini caranya, tnpa dipromosikan psti bnyk jg kok yg dtg ke fanmeetingnya lisa, aku ksel kak liatnya [USERNAME]","Ternyato dau fans kpop têtibo gi, padek Lisa jibak mio bae amên barêak yo ca o nê, coa pakêi promosi kulo pasti dau kulo dê têko moi pertemuan penggemarnê Lisa, uku ksal yuk kêmliak nê [USERNAME]"
emot-train-3158,Seneng banget dengernya congrats er sidang bakalan ada yg nungguin wisuda ada yg digandeng yuhoee,Snang nyên têmi uk nê slamat sidang bakêa ade dê têmungau wisuda ade dê gêmandeng yuhoee
indolem-train-2309,wifi nya kurang. sama bnyk nyamuk,Wifi nê ku ang.ngen dau nyomok
indolem-train-1342,"tantu lah iyo RT @morry_osd: Kalau lah siap makan tu acok taraso kanyang, siap tu mato mangantuak #TaruihTarang","Barêak o ba RT @morry_osd: Amên bi sudo mukmêi o ngêding kenyang, sudo o matai stêkuk #Trus Tê ang"
emot-train-2089,"gila takut banget gue kaget gitu gue sampe loncat larinya kaget bat. hufh tapi abis diluar gue minta temenin satpam. satpam nanya kenapa emang, gue bilang pintunya ga bisa dikunci. alesan doang gue takut kalo ngomogin langsung soalnya gais. hufh. -END-","Gilo sabên nyên uku têkanjêt i o uku sapêi mlupat mlilai têkanjêt bat.huff tapi abis nak luwêa uku minoi kênuwat satpam. satpam têmnai memang gêntai, uku madêak bangnê coa nam kêmucai. alasan bae uku sabên amên madêak langsung masalahnê kwat,hufh. -TAMAT-"
indolem-train-3199,"Bikin Video Klip, Syahrini Pakai Konsep Absurd http://bit.ly/1vR1Ock  #KabarMusik","Bikin Video Klip, Syahrini Pakai Konsep Absurd http://bit.ly/1vR1Ock #KabarMusik"
indolem-train-1910,bathtubnya ga bisa dipake krn gk ada penutupnya. dan gk ada air panasnya.,Bathtubnê coa nam makêi kerno coa ade tutupnê.ngen coa ade biyoa panêsnê.
emot-train-2299,"Pelit amat siiihh padahal TA ku karo TA mu kan bedo, lagian kowe yowes pendadaran, nek kowe jaluk TA ku yo langsung tak wenehi  didepan pembimbing sok jadi pahlawan yang bantuin aku, tp kenyataan NOL! gituin aja terus yhaaaa. Astagfirullah hal aziem. Sabar :)","Padêak kisit seh padahal Tugas Akhir ku ngen Tugas Akhirnu kan coa srai,ko kan bi sudo Pendadaran,amên ko minoi Tugas Akhirku langsung uku mlêi nak dênam pembimbing asai ijai pahlawan dê tmulung uku,tapi kenyataan kosong! i o bae trus gi.Astaghfirullah hal adzim.Sabar :) "
indolem-train-468,"kamar bersih, ac dingin, tv berfungsi. tapi pintu kamar mandi tidak bisa dikunci. resepsionis kurang ramah toiletries hanya diberi 1 untuk 3 hari padahal harusnya tiap hari dapat.","Bilik bersih.ac sêngok, tv bepungsi.tapi bang kamar mêndai coa nam kmucai.resepsionis ku ang ramah kracok mêndai Cuma nêlêi do utuk têlau bilai padahal harusnê tip bilai dapêt."
indolem-train-24,"...buat apalah susah cari kesana kesini, sudah didepan mata? ? Kamulah Takdirku by Raffi Ahmad & Nagita Slavina ? https://path.com/p/1Lx6BE","...Utuk jano ba pêpayêak msoa mini minoi,bi nak dênam matai? ? Kamulah Takdirku kuni Raffi Ahmad & Nagita Slavina ? https://path.com/p/1Lx6BE"
indolem-train-1735,Ayu terkejut dengan sindiran Raffi Ahmad. http://bit.ly/1F4qiUu,Ayu têkanjêt ngen sindiran Raffi Ahmad. http://bit.ly/1F4qiUu
emot-train-2273,[USERNAME] [USERNAME] good job. Jadwal kereta arah bogor sangat berantakan. Harusnya ga seperti ini di jam segini. [URL],[USERNAME] [USERNAME] kêrjo padek.jadwal spur moi Bogor kêmbiak kacau.Harusnê coa barêak yo nak waktau yo. [URL] 
indolem-train-2060,Konflik Internal Golkar Berefek pada Pilkada http://republika.co.id/r/nkai7e,Masalah Lém Golkar Berefek ngen Pilkada http://republika.co.id/r/nkai7e
indolem-test-987,"Syahrini harus rela berpanas-panasan selama proses pembuatan video musik terbarunya, Seperti Itu. http://bit.ly/18aCusX",Syahrini harus lok pêpanês slamo mênêa video musik dê blaunê  Seperti Itu. http://bit.ly/18aCusX 
emot-train-3102,"Berasa lagi baca fanfict soal chaebol... Heolll... Ini di Indonesia, beneran ada loh orang yang hidupnya kayak kita nonton cerita di drama korea. Simak di mari... [USERNAME] [URL]","Kêmasai gidong mbaco fanfict soal chaebol... Hallo... dio nak Indonesia, niên ade tun dê idup awêi itê noton cêrito drama korea.simok pyo... [USERNAME] [URL]"
indolem-train-3118,Kamar agak kecil dgn tv  sangat mungil. Kamar mandi tidak bersih agak jorok. Selimut dan sprei ada noda2 namun besoknya setelah di komplain diganti dgn yg agak bersih. kolam renang airnya kotor dan sdh lama tidak dikuras. Walaupun sedikit mengecewakan namun agak terobati dengan snack airy dan bath set airy.  Over all lumayanlah,Bilik agok titik ngen tv titik kulo.kamar mêndai coa bersih agok gumok.slimut ngen sprai ngêi kulo tapi mênnê pas bi komplen gnitêi ngen dê agok bersih.kulam renang biyoa nê ngêi bi an coa nêrsih.walaupun didik kêciwo tapi mujua ba ade kêkucêp kuni airy ngen kracok mêndai .kutê nê bi jijai ba
emot-train-2955,"Dunia semakin lama semakin banyak tantangan yg bikin stres.. tp sbenarnya obat termanjur dikala gundah melanda adalah nelfon Bapak Ibu dan bilang ""doain aku yaa"" kemudiam sebaik2 jawaban adalah ktika mereka blg : ...",Dénio makin an makin dau tantangan dé ménéa stres..tapi sébénéané ubét termanjur waktau kémasai coa baik adeba nelpon Tiak ngen Indok nadéak “du o uku au” terus sépadek-padek jawaban adeba kétiko tébo o madéak : ...
indolem-test-265,"pelayanan sangat ramah,kamar pun rapih dah bersih tapi ada sedikit kekurangan di bagian handuk dan selimutnya sebaiknua yg sudah sobek diganti yaa.. thx","Pelayanan ramah niên,bilik kulo rapi ngen bersih tapi ade didik ku ang nê nak bagian anduk ngen slimutnê dê bi sêgit gênitêi ba..mokasiak"
indolem-test-336,"WC isn't working, AC isn't cool, sumpek gerah dan bad lighting di kamar. Dikasih gantungan kunci yang jelek, terus jatuh dan patah, akhirnya malah kliennya disuruh ganti 100rb padahal kuncinya kaya kunci kamar biasa, cuma ada semacam gantungan kartu nomer ","WC coa fungsi,AC coa sêngok, kebut panês ngen lapu tidua nak bilik. Nêlêi gatungan kucai dê kidek, trs cucia patiak, smudonê nêluak gêmitêi sotos ribau padahal kucainê awêi kucai bilik biaso, Cuma ade awêi gatungan kartu nomor"
indolem-test-341,"Kecewa banget sih di hotel ini, ac mati, jelek lah pokoknya ga nyaman gua nginep di situ dan kalo booking airy ga bakal disono lagi cih","Kciwo nyên nak hotel yo,ac matêi,kidek ba pokoknê coa nyaman uku têmalêm nak di amên lok mêsên Airy cigai gi bakêa nak di igai ba"
indolem-train-3231,"air panasnya mati,makan paginya terlalu sedikit","Biyoa panes nê matei,mukêi pueng didik igê"
emot-train-376,"Saat lebaran aku rindu sosok wanita yg pandai sekali menyimpan rahasia, ditatanya rapi rengginang crispy didalam kaleng tanggo yg dikemas layaknya kado.","Pas rayo uku indau nyên ngen slawêi dê pitar maik rêsyo,snusunnê rapi rengginang crispy nak lêm kaleng tanggo srai awêi kado."
