id,text,label
indolem-train-1278,"Pulpen, hackter,cap BPJS dohot harotas pendataan pasien holan i na mandongani ari2 hu di kantor hahaha :) http://instagram.com/p/zWxGqDikmw",negative
indolem-train-2379,"aek macat di jom-jom potting,diketerangan fasilitas aek hangat inda ditentuhon jom kan? jom 18 aek hangat inda marfungsi,uanon do maridi aek hangat manyogot ari? justru na potting i borngin,biama halak na aktifitas na sampe borngin rap baru bisa maridi",negative
indolem-train-1041,"lao nama au. dang nuaeng ale annon, alana huboto do songon dia haccit na ditikki lao mangalupahon hlong naung sanga madabu",positive
indolem-train-147,"dang hea olo mambege hata nasida naso lomo roha na tu aa... gabe na hipikiri jolma na makkatai2 pamili/adek na, i do na denggan...*@RaffiAhmadmuse",positive
indolem-train-1958,lante marabu,negative
indolem-train-1144,"Calon pempim KPK di usulhon SBY dang di jalo, Demokrat protes, Jokowi http:/bit.ly/17XWoy3 #InfoAceh",negative
indolem-validation-125,hurangna ac na leleng nagali,negative
indolem-train-128,#VENEWS Borua Golkar Makassar Dibohali Ilmu Keprotokoleran: Pelatihan on patuduhon? http://goo.gl/fb/RGqk8b,positive
indolem-train-142,lomo hian mamahe airy.... i hotelna menak do solan i sinyalna na maol alai panghobasion lomo roha dohot arga nasa i sogot ahu pahe airy muse molo pesan2 hotel,positive
indolem-train-1225,"Dibilut podoman dang adong lap di pat dohot inganan ni sampah, anduk pe dang di gatti, podoman pe golap jala hurang ias ( pattar dohot sprei) aek na pe naeik tu ginjang, shower na pe sega jala ikkon di tiop pakke tangan, Inganan na jonok CGV",negative
indolem-test-35,Pemain Arsenal pahe abit Batik.,positive
indolem-train-3023,"Dapot kamar 201, lampu na dijolo toilet mate, kunci ni kamar hera na jolo jala maol dikunci, aek na mohop dang boi tarpake",negative
indolem-train-2903,nyaman sih tai toilet hurang ias imaido...,negative
indolem-train-2425,pangaladen na pe hurang...marborngin dua borngin holan siallangon ma + aek  sahali.. 2 hali hian do attong,negative
indolem-train-632,Akhir na punya juo lagu on????? ? Knock Me Out ngen Afgan ? https://path.com/p/3qMrK8,positive
indolem-test-420,#newspertamalampung Politikus Partai Golkar Bambang Soesatyo manduga adong deal antara Presiden Joko Widodo da... http://bit.ly/18b9QYI,negative
indolem-train-1250,"SBY 'Panegai ' Demokrat"""" by @TPK_RI http://chirpstory.com/li/242065",negative
indolem-test-842,Shemomedjamo ima tudos-tudos  sian Jerman na lapatanna Nga butong alai sae torus mangan ala patabohu siallangon na.,negative
indolem-train-157,#Barita #Nasional | Demokrat  manilai haputusan residen mangalean hapastian: Sekretaris Fraksi? http://goo.gl/fb/5bWfLp,positive
indolem-train-1818,satonga jom nai? inda sabaaaaarr4?? ? sabar ngen afgan ? https://path.con/p/2fOn1c,negative
indolem-train-2740,wifi tolong dipature.. adong 2 na sada sakali inda adong internet sada nai  inda stabil sinyalna..,negative
indolem-train-1430,"kamar na rotap, Ac dang tarhilala manang na, toilet nungga markarat, Aek na ancim,tv na dang adong na marwarna, customer service dang mamparsiaphon kamar andorangso halak ro laho marborngin",negative
indolem-train-1329,dang be di jalo Itervensi na di pasahat Wantim Golkar http://elshinta.com/newa/2944/2015/02/25/dang dijalo-intervensi-na- dipasahat-wantim-golkar?,negative
indolem-train-1799,"Jotjot do ahu marborngin dison somalna menak do, alai ala natoari marborngin 2 ari dapot ma kamar no.22 AC mohop dang mardai, modom pe sampe hodokon",negative
indolem-test-418,wifi inda sampe kamar,negative
indolem-train-1755,Pilot Ukraina na Mogok Mangan di Penjara Rusia Hampir maninggal http://bitly.com/1DyrnUX,negative
indolem-train-3541,Klip na baru Syahrini dohot Konsep Absurd: Jakarta ? Tingki on nga tambu muse prestasi na didapot si  Syahri... http://bit.ly/1AZ3TdH,negative
indolem-train-2506,"pangaladenanna nungga denggan, alai kamar mandi na hurang ias, adong karat na di lantai dohot di wc na.. Cangkir panginuman pe adong karat bogas ni tes manis.. Sarapan na hurang dos dohot argana.",negative
indolem-validation-180,Alani hirim adong Gigi i The Blusukan au hatinggalan mamereng Afgan marende Terima Kasih Cinta acapella version di Trans7. Huasyeeeem! ??,negative
indolem-train-3343,Ac na  mohop,negative
indolem-train-306,Si Engkong mancam ni motor Cibubur on tung burju hian. mangalean mangan dohot minum ubat tu naso mamereng. toru ni roha jala dang muruk muruk tu anggotana,positive
indolem-validation-251,"pelayanan check in leleng rap sistem di resepsionis leng manual,kamar joko,lantenai sego,dursun rap kamar maridina dursun",negative
indolem-train-1681,ac na hurang ngali,negative
indolem-train-2132,"SATTAK BURUK PELAYANAN MULAI NGEN KAMAR NA DURSUN WASTAFEL TUPPAT INDA DIPATURE,ULANG ADONG NA RA MANGINAP DISON ANGGO INDA RA KECEWA",negative
indolem-train-2731,lumayan. nang pe sprei hurang ias dohot dang di patupa salimut,negative
indolem-train-2148,kamar 209 ac na inda ngali,negative
indolem-train-2999,barita ni Kader PDIP Manukung Interpelasi Dinilai Mangarugihon Partai - http://SINDOnews.com  http://ift.tt/1AZgb5T,negative
indolem-train-2653,godang halak na gogo & togap alai tikki adzan subuh ibana dang boi dungo sian podoman lao tu masjid. disima sipata marsak mimin.,negative
indolem-test-877,Bahatni parsiajar na marbadai umbahat sian gamer namangulahon hajahaton. Ibenna pasti singkola gabe mambahe hajahaton. Bubarhon singkola ????,negative
indolem-train-2392,"ahu dang hea mangido lobi, holan sada ; unang lao tanpa alasan ditingki ahu pas situtuna manghaholongi ho.",negative
indolem-train-982,[Nasional] diskon-abit madinah bahan halus rap lembut hanya Rp 60.000 http://gpon.co/7d9dr,positive
indolem-train-903,lebislator PDIP:Aturan delay maskapal akkon ipertegas http://brt.st/4toD,positive
indolem-train-3351,tabo do bah.... alai menu sarapan hurang pas,negative
indolem-train-970,Efek film keren ma pokotna ? mambaen tangiissss ?? ? Untukmu Aku Bertahan ngen Afgan ? https://path.com/p/3Z9L36,positive
indolem-train-919,kehe pasuo umak nia sajo.makkuling ma pandokkon ni anak ni dongan rap boru nia.baru pemberani.pandokkon ni alaklai?,positive
indolem-train-2126,dang adong aek siinumon jala snack na hotel airy biasa na hu kunjungi adong...,negative
indolem-validation-171,kamar mandi na agak maruap jala wifi na lambat ,negative
indolem-train-2005,"bau kamar maridi hurang sedap,pelayanan apa adana,tempat mangan amana dao.",negative
indolem-train-1142,"joko,siaran tv 6 chanel maido,maligin jandela inda adong,lobby rap area masuk manuju lift marsarsaran,kutci pittu leng manual.inda sasuai songon foto",negative
indolem-train-520,SBY Naeng Demokrat asa Mulak Marjaya di Jawa Timur - Republika Online http://goo.gl/fb/C9dRSx  #Trenggalek,positive
indolem-train-1790,"tempat habiaran ,bangunan na leleng,aek milas inda mangolu,panganon inda adong.",negative
indolem-train-50,"marsiajar manutup aurat saotik saotik,pajolo jolo pake handsock,pake stoking,jago sumbayang.cubo istiqomah baru labuhkon tudung,pagodang baju ?",positive
indolem-train-1243,kamar maridi dursun rap bau.inda adong aek milas,negative
indolem-train-2300,Kamar mandi na agak bau otik jala parkiranna agak maol,negative
indolem-train-1413,"lumayan deges,aek paccur nai maido parjolo milas murleleng ngali",negative
indolem-train-3132,"hurang ias toliet na, toiletna dang tabo bau na, colokanna holan sada i pe holan tu tv",negative
indolem-train-1152,dursun mardebu.au inda so bersin hatia pajolo masuk kamar.kesan kamarnai kumuh.wifi sego.au langsung check out,negative
indolem-train-3353,"hurang ias,pelayanan pe hurang deges",negative
indolem-train-1249,"Lao ho dohot hal-hal na ndang hea boi hu lopas, sasintongna manghaholongi ho tarsingor marlaga pusok marhosa.",negative
indolem-train-487,"Ido @Raffiah_SMG17 Duhh, Candidnya tongam Hian @RaffiAhmadLagi ",positive
indolem-train-1987,"Basa dang boi dibukka link na..@karlina73: eh mauliate dah ? ""'''@merissanedya: @karlinaa73 on da  kak>> http://uyeshare.com/site_index-of-mp3-detile.xhtml?cmid=27575194&get-artist=Raffi%20Ahmad&get-title=Terbaik%20Untukmu ? ???",negative
indolem-test-84,dokkon inda tu selingkuh?? ? katakan tidak ngen Afgan ? https://path.com/p/2Z0gbt,positive
indolem-train-2789,"18.01 : RT @DarwantoOne: Lalin Ruas Tol Tomang arah Kbn Jeruk - Tangerang padat, adong motor Kia mogok di Km 2. ",negative
indolem-train-2477,sprei na hurang ias,negative
indolem-train-3365,"PKS: anggo PDIP Kecewa tu Jokowi, Buktihon! - http://www.itoday.co.id/uncategorized/pks-kalau-pdip-kecewa-sama-jokowi-buktikan ? ",negative
indolem-test-414,"Pangidoan SBY Soal Goar ni Pimpinan KPK Ditolak Jokowi, Demokrat Protes http://ift.tt/1BqpIm9  via SiaranLampung",negative
indolem-train-3594,"bilutna bau sigaret,,, panghobasionna hurang lambok",negative
indolem-train-2281,hapengan disikola i inda cuma rebutan gandak tai adong juo na rebutan wifi,negative
indolem-train-2166,"Hurang pas ni rasa ala dang adong i aek panas dohot hot shower hape nga dijanjihon Airyrooms,dang be maridiri molo malam. Dang adong di paboa manang na minta maap sian resepsionis manang na housekeeping    na sega water heater. Roa hian ma molo skor na, Maleleng ate-ate",negative
indolem-test-976,"Tarlambat marsikkola, kuliah, manang na tu kantor tumagon ma  daripada  tarlambat mandok roha. nungga sanga di buat dongan ni imana..#ASRI",negative
indolem-train-2738,godang jajanan i luar hotel.. kamar mandi na uapna hurang ias dohot landit dang keset tong,negative
indolem-train-710,"Molo holong do rohami tu au, paloas ma au mambotoi. Alai molo daong, Paloas ma au lao.",positive
indolem-train-2914,"Jokowi Dang Pakke Dua Calon Pamimpin KPK, Demokrat Protes:Fraksi Partai Demokrat menolsoli langka ni Presiden ... http://bit.ly/1vJteRn ",negative
indolem-train-1868,"My name is Hodijah, No modelling  No movie  No dangdut  No agnezmonica  No raisa90  No raisa96  No ayutingting  No syahrini  No yoona.",negative
indolem-train-297,"Tu ukuran ekonomis on nga denggan hian, parlengkapan mandina lengkap, snack adong, saluran tv dohot wifi pe ok.. alai molo boi mangalean saran dohot komentar, spreina hurang ias & herana boi i tabbai jomuran adduk.. mauliate sebelumna.",positive
indolem-train-2268,nauboto ngen Afgan ? https://path.com/p/LwY6Z,negative
indolem-train-3320,"wc na pe jormat, na darhe sahat au jam 13:15 lao check i paimahon jam 2, jala dang sadia leleng didok ito i ikkon paimahon satonga jam nai. molo aerly check in ikkon di bayar do 50 ribu hape podoman  pe nga dibahen hian.... ala nungga loja di pardalanan  na di bayar 50 ribu i pe hea adong pengalaman hu hurang sonang sian hotel airy... haduan dang tu hotel on be...",negative
indolem-validation-153,"bilut marorbuk jala bou bornok, mambahen daging gatal. flush WC ndang boi, wastafel sompol, lampu adong na so boi mangolu, telepon hotel ndang boi, wifi ndang boi. Alai panghobasion na lambok, holan ndang diolopi pahe fasilitas sajo. Ndang olo marborngin gok alana nungga parjolo ndang menak",negative
indolem-validation-269,"Bamsoet: Ternyata Tong dope Kampret!-JPNN.com: JAKARTA - Politikus Partai Golkar Bambang Soesatyo, masing masing kancang ... http://bit.ly/1LoAmvC ",negative
indolem-train-3552,"Hu telepon boasa ndang dialusi ho?"""" """"Hp on hpku, simcardna hu tuhor, top up hu bayar sandiri. ",negative
indolem-test-730,perasaan malosol giot hadir anggo hita 1)modom na leleng tu 2) ngot lewat 3) modom habis subuh 4) mangan na bahat tu 5) mamette-mette karejo.,negative
indolem-train-1202,"kamarna deges,pelayanan ramah.WIFI maido na mate (sego)",negative
indolem-test-986,Di Italia angka PSK manurat nomor HP nasida di akka sudut stasiun kereta api.,negative
indolem-train-2404,PRFM News | ARGA PREMIUM NAIK RP 200 MULAI SIAN 1 MARET arga ni bahan bakar minyak (BBM) j... http://on.fb.me/1EzMDLW  - http://goo.gl/IJfGp5,negative
indolem-train-3206,minusna wifi hurang kancang,negative
indolem-train-2325,"dang adong Room service laho manginap lobi sian saborngin, dohot jaringan wifi koneksi interna hurang puas lowspeed.",negative
indolem-train-3166,"Natape Indonesia puna laut alai soal koji mangallang ihan, hurang dope via http://ngi.cc/n4j8",negative
indolem-train-2266,"pangaladenan na roa, dang marniat manjalo tamu",negative
indolem-train-609,"Jonok tu jatimpark 2,  podoman ias holan na pas ro do hacca guet house na di pature gabe godang ma abu. huboan muse 2 dakdanak. tu hotel holan na tu jatimpark ma.",positive
indolem-train-2241,"46.jadi konflik Anas rap SBY sebenarna tarjadi sejak kongres Demokrat pada mei 2010,tai mulai tarida serangannai pas anas tarpilih.",negative
indolem-test-585,"dang adong nuansa airy room na songon diangka inganan na asing, aek siinumon na pe di galas dang di botol, paralatan laho maridi na pe jala laho mangan pe ingkon di paido. dang dipaboa laho sarapan. pangaladenan na tung mansai roa. Mauliate",negative
indolem-test-671,AEK LAS SOMAL HIAN MATE WIPI NA  SEGA SOMAL HIAN,negative
indolem-train-2817,mambahen jut roha ndang sarupa tu aha na binereng di foto ingananna hurang menak jala wifi ndang boi ,negative
indolem-test-25,Tu rohamu ahu martahan ?:'*:')? Untukmu Aku Bertahan sian Afgan  ? https://path.com/p/NDJuz,positive
indolem-train-3402,"Podoman na lambok, ohom jala ias. bilut paridian na pe denggan ma saotik.Dapot sipanganon, aek minum  jala angka sabun mandi na pe sian Airy. ale na waktu i WIPI jotjot disconnect, gabe dang boi di pakke  marinternet pakke wipi.",negative
indolem-train-2858,"PDIP Dinilai Aneh anggo Tarimo Badrodin Kapolri: INILAHCOM, Jakarta - Anggota Komisi III DPR Fraksi Golkar, Bam... http://bit.ly/1Lp73ZP",negative
indolem-train-3285,"Kumu dohot rotap, hurang tarurus",negative
indolem-train-431,Bidang Parompuan Golkar Makassar Dibekali Ilmu Keprotokoleran - Fajar http://bit.ly/18aDPQs  #Makasar,positive
indolem-train-1860,"Syahrini?MAMOLUS""""@fatadiot: maco cyn""""@baekdef92: Lahaula""""@eksodell: """"@xocokis_:  @ohxoseh:  """"@xunluna16 """"@eksopi94: ",negative
indolem-train-3227,tongosan demokrat ndang godang dah @IroeliantM: @Anjani202 @fariz1234 @triwul82 Janji Tinggal Janji di bibirmu. Tongosan,negative
indolem-validation-52,"proses check in copat,kamar ias rap luas,setup airy hurang : panganon cuma dibukkus palastik tanpa kotak biru khas airy,bed cover strip biru khas airy inda adong.jandela sego inda bisa dikutci,paccur wastafel sego tolong dipature hotel.",positive
indolem-train-1735,Ayu tarsonggot dohot sindiran ni si Rafi Ahmad. http://bit.ly/1F4qiUu,negative
indolem-test-288,"terkadang lobih pade anso palua seseorang kehe,harana dengan cara i akhirna ho mandapotkon dirimu kembali. -@WIIzKanadi",positive
indolem-test-252,#bukafollow Demokrat nilai kaputusan presiden malehen kepastian http://dlvr.it/8dXNX5 #AntaraNews,positive
indolem-train-1835,"Dapot kamar na ac na inda ngali sama sekali.dung gagal giot sobar,akhirna pindah tu kamar lain pas jom 2 tonga borngin.kondisi pamatang na loja harana pardalanan mudik via darat martambah loja harana kondisi on.kamar na baru pe ac na inda bisa didokkon ngali,inda nyaman sama sekali ditambah inda adong permintaan moof ngen staff hotel.mojar juo rap airy.",negative
indolem-train-2944,"Dapot kamar na jarang di ingani, kotor dohot dang adong fasilitas lift......huuffftttt",negative
indolem-train-804,mauliate nungga di downloadin?? ? homa turpuk hu sian si Raffi Ahmad dohot Nagita Slavina (at pewe house?) ? https://path.com/p/31IXg3,positive
indolem-train-649,"kamar nyaman,ias lobi maido rap tempat parkir porlu dipature",positive
indolem-train-3361,"denggan. saor panjaga nai. alai bilut nai songon na soppit, tudos arga nai tahe alana mura. ac hurang ngali ",negative
indolem-train-3042,"ingananna denggan, alai customer servicena hurang lambok... dang adong senyum sapa salam ... flat...",negative
indolem-train-1222,"Kasurna gelleng, snackna pe saotik, ac hurang ngali, dang denggan molo tu dua halak, mauliate",negative
indolem-train-902,"Dilehon imana mawar naso boi malos. Sitoho do i, na palsu do sitoho, Alani i gabe lao ma au ~ @kimuuli",positive
indolem-train-2666,very nice....tai bahat obuk,negative
indolem-train-742,The great team di Kantor Gubernur Banten? #bmx #bmxlife #bmxteam #ztffbmx http://instagram.com/p/zXQhVoDqvq/,positive
indolem-test-282,"@RaffiAhmadLagi suping parnijabumu @Lady69gi manarik roha, pamanat sian angka kumbang-kumbang haha",positive
indolem-validation-204,"Wc pe boccor.aek las na ikkon ni paima ma leleng, podoman na pe hurang ias,",negative
indolem-train-1473,"hurang ramah resepsionisna,tv na juo inda ias chanelna",negative
indolem-test-1010,Hurang denggan panghobasionna... sugari tamu diparekkeli... manggalar do ahu.,negative
indolem-train-886,Sudek na baju dohot celana Polo diskon 67% http://ow.ly/Jmurq,positive
indolem-train-258,"Marhua ma susa mangulului tusan tuson, nga i jolo ni simalolong? ? Kamulah Takdirku sian Raffi Ahmad & Nagita Slavina ? https://path.com/p/3g5cHT ",positive
indolem-train-3038,podoman na bidang . ale dang adong aek las,negative
indolem-train-210,"Winter Project na di padalan si ACT sian donasi pambatca Republika, di implemtasi hon dibagasan bentuk pakkean panas dohot salimut. #SOSPalestina",positive
indolem-validation-331,"kamar hurang ias,aek susah,aek milas inda adong",negative
indolem-train-83,pangubatan Hemia Malum Situtu http://www.klinikwienarto.com   (0291)3332855 / HP.08128893709 / PIN 29E22f2f,positive
indolem-train-2589,vs hurang ramah,negative
indolem-train-3475,"Ragam_Jakarta: PDIP Dang Olo Mangandalhon Figur Jokowi di Pilkada 2015: INILAHCOM, Jakarta - PDI Perjuangan (PDIP) tid... http://bit.ly/19QlWXN ",negative
indolem-test-526,"Podoman sisa, Ac las, mangaladeni pas ma",negative
indolem-train-1021,"Hey hodo turpukhu, manang na didia pe ho sai denggan denggan ho di san,? ? Homa turpuk hu ende sian  Raffi Ahmad & Nagita Slavina ? https://path.com/p/33DaI4",positive
indolem-train-1557,"Mulak kuliah, modom-modom satongkin, hitcat, mangalompa. manggatti pahean pe dang sanga. sabu ung mansai padat!!! [pic] ? https://path.com/p/6MzT8",negative
indolem-train-2758,fasilitas wi-fi hurang denggan,negative
indolem-train-2400,PDIP Tolak Libatkon Jokowi di Pilkada 2015 : http://fajar.co.id/headline/2015/02/22/pdip-tolak-libatkan-jokowi-di-pilkada-2015.html ?,negative
indolem-test-80,mulak tu mesjid al mansur. di jambatan lima. eh adaong si Yani. dongan sikkolah.,positive
indolem-train-1649,"paling ilfeel tu adaboru na abis manonton suka foto tiket dibioskop pake HP,padahal hp nia 3315",negative
indolem-test-512,"nyaman, sude ias . tai sayang aek minum rap wifi inda tarsedia",negative
indolem-test-95,"selain marolahraga,mambaen beberapa parubahan dibagasan rencana mangan mu juo dapot mambantu ho mandapotkon hasil na luar biasa.#fatloss",positive
indolem-train-1937,"anduk dikamar holan 1 hape pesen tu 2 halak. nga piga hali mangido tu resepsionis dohot room boy alai dang di lean sahat tu check out. adong piga fasilitas hera anduk dikamar mandi sega, pintu kaca boi ma ditambah gorden manang diganti dohot pintu biasa, molo arian alani kaca. sprei dohot bantalna dang ias gok dakina.",negative
indolem-train-3491,"Protes Pangantukan, Wartawan Diroro Kantor DPD PAN Kota Bekasi - Liputan 6 http://Liputan6.com http://dlvr.it/8g28t0 <-Komentar?",negative
indolem-train-1237,"Masalah? RT @tribunnews: Tudu Badrodin, Bamsoet Sangkap adong Deal Jokowi tu PDIP http://bit,ly/1DHZIY5 via @tribunnews ht",negative
indolem-train-3425,"kamarna dang menak alani hurang ias jala hawana sosak, di kamar mandi dohot humaliang ni kamar bahat markaliaran ipos na gelleng. Acna pe dang ngali gabe hira naso mamangke ac jadina",negative
indolem-train-1752,1.aek keran kamar maridi mate 2.parkiran kareta marappar 3.kaiasan luar rap bagasan gedung sattak dursun 4 AC kamar leleng doma ngalina 5.pelayanan resepsionis hurang peduli 6.foto di iklan inda sasuai rap kenyataan (ngen sude aspek).,negative
indolem-test-17,"on hian ma! dang adong puna ku !hahahah RT @ridhofkr.Syedi mamereng parma saonari. Sarupa dohot ho sudek na, au pe tikko SD hea puna baju songoni",positive
indolem-train-2819,bilut bau dohot rotak. partapianan rotak dohot bau aek las na dang haluar,negative
indolem-train-2407,"Paridian pe hurang ias, adong puttung ni sigaret, podoman pe bau  hian, AC pe hurang ngali..   jala hurang tabo",negative
indolem-train-2341,"sonari on, hurang mamuason tu kamarna.. pintu kamar maol i kunci, molo sprei kasur godang bolong-bolong",negative
indolem-train-726,Poros Muda Golkar Nilai Jokowi Bisa Kendalihon Situasi Saat on http://brt.st/4toF,positive
indolem-train-1341,Keren. Holan AC do na hurang ngali,negative
indolem-validation-363,Inganan menak alai panghobasion ndang denggan,negative
indolem-train-2303,aek las dangadong,negative
indolem-train-1693,"Manaritahon. snack ndang adong sama sahali, toiletries ndang adong sama sahali, aek las pe ndang boi, wifi lemot situtu.",negative
indolem-train-2736,"Hea do au songoni berharap kembali ho, alai nunga i pada akhirna rela do au lao ho ",negative
indolem-train-2744,Asli on dah sedihna. inda bisa move on:'( ? Untukmu Aku Bertahan ngen Afgan ? https://path.com/p/10lSGX,negative
indolem-train-3607,cs dang torus adong. gabe dang boi manjalo cemilan. dung i nattari i dokkon adong adduk molo dang salah. alai dang ilean. sabun mandi habis i ujung tikki au naeng check out tv dang boi i totton,negative
indolem-train-743,naeng mampunai HP na baru di 2015? Pas! #andigan dope dohot Lumia pasti mangalean 3 HP nabaru. on ma naporlu diulahon>> http://kplg.co/C5fA Beta #MakeltHappen nipimu!,positive
indolem-train-1964,kamar dorun jala soppit,negative
indolem-train-387,Syahrini Kagumi huta Singaraja - http://Tempo.co http://goo.gl/fb/TQkYK5 #singaraja #bali,positive
indolem-test-832,"UPS Rp 5 Miliar/Sikkola, Praktisi IT: Asing & Ndang Logis http://tinyurl.com/p7cmsxo",negative
indolem-validation-229,"Murid SMKA,SMA,SABK alau marpasangan. Mangido jo tu sikkola ugamo""""Na sala i muridna ndang sikkolana. Sel utok-utok ndang tarhubung huroa?",negative
indolem-train-1918,"hotel hurang maintenance,siperei inda digotti jadina bau.wifi lemot.kamar rata2 muap sigaret padahal au mangido inda tola mangidup dikamar.mangan lumayan ma.",negative
indolem-train-3433,"Career Citizens, aha do dihamu na tung mansai annoying di kantor muna? #dongansibahensogoniroha",negative
indolem-test-774,"kondisi kamar denggan alai hurang ias, sorbuk na tarbereng i lante dohot furniture tarlumobi i kotak Snack, dung i semprotan toiletna malua. Kamarna pe bau sigaret, alai dung i paboa tu housekeeping tor i semprot, alai kamar mandina baru sigaretna tong dang mago hape. Kasurna lumayan empuk. Menu sarapan aha na adong.",negative
indolem-train-2071,"Dilantai 1 hotel dang adong jaringan saotik pe, ahu mamangke 2 kartu na marasing. wi-fi ni hotel pe hurang dapot di lantai 1. Shower di kamar mandi na pe sega, kamar na pe hurang ias (adong puntung ni sigaret di suhi-suhi ni kamar dohot di dingding",negative
indolem-test-998,"tung mansai rotap, kamar mandina markarat dang di burus. lorong di humaliang ni kamar marserakan sipre na dohot galat na bekas",negative
indolem-train-3344,"siperei nai masubak,remot tv na inda adong,saluran tv na inda jelas harana antena na inda adong jadi inda bisa manonton,untungna saborngin maido manginapnai",negative
indolem-train-1094,"pelor Band: dung pake berlian 5 M,sannari syahrini dandan inda nymbung: syahrini na biasana tampil...http://bit.ly/18c9ocw tarimokasih",negative
indolem-validation-375,"Roa hian.... dao hian berbeda sian na adong di apps. kamarna rotak, WC na dang terawat, kamarna nunga matua.",negative
indolem-train-191,"Pagiiiiiiii, beta manjomur abit dung i mangarade tu Bekasi. Eniwe, nungga mandok mauliate Alhamdulullah manogot on? :)",positive
indolem-train-51,@rifai_rifaiplc: @PrincesSyahrini cetaarrr bget yg ini waw @Official_SYR @BarbieSyahrini @Pr1ncesSyahrini,positive
indolem-train-1240,"sukkup menak alai, ruanganna pa gelleng hu.. ndang adong janjela. bilut paridian songon na bau. aek las ndang mardai",negative
indolem-validation-121,"na mamfestivalisasi giot di-festivalisasi""""@inilahdotcom:salasa,syahrini dipareso polisi tarkait samad http://bit.ly/1FlviBd",negative
indolem-test-838,aek milasna inda marfungsi,negative
indolem-train-1979,"service kaiasan kamar hurang deges,muap timus sigaret ngen connecting door kamar sebelah.",negative
indolem-train-489,peran sikola bisa mambantu turunkon angka penyakit ipon http://republika.co.id/r/nkbvez,positive
indolem-train-270,"? """"@JANJISUCI_TTV: waah... @Lady6igi coo cwiiit hiaaaan deh mansulangi @RaffiAhmadLagi .. ",positive
indolem-train-3185,"nampuna hera dang diboto dohot dag dihuasai aplikasi airy, kamar airynya paling ujung, dang dileon minum+snack gratis dr airy,shower dang adong na mohom..lokasi strategis, kamar na lumayan..dipikir2 muse molo naeng diulangi manginap dison",negative
indolem-train-2678,"sian mulana au masuk kamar uap sigaret. dungi au masuk kamar mandi, i toilet na adong te mullop herana mampet saluranna gabe naik tu gijjang. akhirna hu flash jala bau hian. dung sae i hu pagalak tv, alai tv na dang kaluar gabbar, aek botol, snack dang adong tissue pe dang adong. tolong tor i padenggan fasilitas tarlumobi kamar mandi",negative
indolem-train-3147,"kaiasan bilik lobi ditingkatkon da,disakitar kusen jandela dorsun doma.songon naso unjung",negative
indolem-test-341,"Kecewa hian do tahe di hotel on, ac mate, roa ma pokkok na dang nyaman au manginap disi dohot  molo booking airy dang bakal dison muse cih",negative
indolem-train-1137,"anggo PDIP adem ayem,artina adpng deal di balik penunjukan Badrodin jadi kapolri : bambang mamyebut adong is.... http://bit.ly/1vRp4H7",negative
indolem-train-3329,Barita ni  Kader PDIP Mandukung Interpelasi Dinilai  Mngarugihon Partai http://sin.do/7cvy,negative
indolem-train-3207,"Pesan 3 ari, borngin parjolo hami modom di biluk na gok barang2 sidalianna bilukna suda hape nungga dibooking hami, ari pa 2 hon hami manjalo anduk ditaruhon dung manogotna. Biluk hotel lumayan do, alau songoni ma :(( ",negative
